Organ_system	Subcategory	ICD10Code	ICD10Description
endocrine	diabetes	E11.3521	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye
endocrine	diabetes	E11.3522	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye
endocrine	diabetes	E11.3523	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral
endocrine	diabetes	E11.3529	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye
endocrine	diabetes	E11.3531	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye
endocrine	diabetes	E11.3532	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye
endocrine	diabetes	E11.3533	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral
endocrine	diabetes	E11.3539	Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye
endocrine	diabetes	E11.3541	Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye
endocrine	diabetes	E11.3542	Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye
endocrine	diabetes	E11.3543	Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral
endocrine	diabetes	E11.3549	Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye
endocrine	diabetes	E11.3551	Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye
endocrine	diabetes	E11.3552	Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye
endocrine	diabetes	E11.3553	Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral
endocrine	diabetes	E11.3559	Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye
endocrine	diabetes	E11.359	Type 2 Diabetes Mellitus with Proliferative Diabetic Retinopathy without Macular Edema
endocrine	diabetes	E11.3591	Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E11.3592	Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E11.3593	Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E11.3599	Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E11.36	Type 2 diabetes mellitus with diabetic cataract
endocrine	diabetes	E11.37X1	Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye
endocrine	diabetes	E11.37X2	Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye
endocrine	diabetes	E11.37X3	Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral
endocrine	diabetes	E11.37X9	Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye
endocrine	diabetes	E11.39	Type 2 diabetes mellitus with other diabetic ophthalmic complication
endocrine	diabetes	E11.40	Type 2 diabetes mellitus with diabetic neuropathy, unspecified
endocrine	diabetes	E11.41	Type 2 diabetes mellitus with diabetic mononeuropathy
endocrine	diabetes	E11.42	Type 2 diabetes mellitus with diabetic polyneuropathy
endocrine	diabetes	E11.43	Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy
endocrine	diabetes	E11.44	Type 2 diabetes mellitus with diabetic amyotrophy
endocrine	diabetes	E11.49	Type 2 diabetes mellitus with other diabetic neurological complication
endocrine	diabetes	E11.51	Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
endocrine	diabetes	E11.52	Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
endocrine	diabetes	E11.59	Type 2 diabetes mellitus with other circulatory complications
endocrine	diabetes	E11.610	Type 2 diabetes mellitus with diabetic neuropathic arthropathy
endocrine	diabetes	E11.618	Type 2 diabetes mellitus with other diabetic arthropathy
endocrine	diabetes	E11.620	Type 2 diabetes mellitus with diabetic dermatitis
endocrine	diabetes	E11.621	Type 2 diabetes mellitus with foot ulcer
endocrine	diabetes	E11.622	Type 2 diabetes mellitus with other skin ulcer
endocrine	diabetes	E11.628	Type 2 diabetes mellitus with other skin complications
endocrine	diabetes	E11.630	Type 2 diabetes mellitus with periodontal disease
endocrine	diabetes	E11.638	Type 2 diabetes mellitus with other oral complications
endocrine	diabetes	E11.641	Type 2 diabetes mellitus with hypoglycemia with coma
endocrine	diabetes	E11.649	Type 2 diabetes mellitus with hypoglycemia without coma
endocrine	diabetes	E11.65	Type 2 diabetes mellitus with hyperglycemia
endocrine	diabetes	E11.69	Type 2 diabetes mellitus with other specified complication
endocrine	diabetes	E11.8	Type 2 diabetes mellitus with unspecified complications
endocrine	diabetes	E11.9	Type 2 diabetes mellitus without complications
endocrine	diabetes	E13.00	Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
endocrine	diabetes	E13.01	Other specified diabetes mellitus with hyperosmolarity with coma
endocrine	diabetes	E13.10	Other specified diabetes mellitus with ketoacidosis without coma
endocrine	diabetes	E13.11	Other specified diabetes mellitus with ketoacidosis with coma
endocrine	diabetes	E13.21	Other specified diabetes mellitus with diabetic nephropathy
endocrine	diabetes	E13.22	Other specified diabetes mellitus with diabetic chronic kidney disease
endocrine	diabetes	E13.29	Other specified diabetes mellitus with other diabetic kidney complication
endocrine	diabetes	E13.311	Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema
endocrine	diabetes	E13.319	Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema
endocrine	diabetes	E13.3211	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E13.3212	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E13.3213	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E13.3219	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E13.3291	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E13.3292	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E13.3293	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E13.3299	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E13.3311	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E13.3312	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E13.3313	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E13.3319	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E13.3391	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E13.3392	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E13.3393	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E13.3399	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E13.3411	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E13.3412	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E13.3413	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E13.3419	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E13.3491	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye
endocrine	diabetes	E13.3492	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye
endocrine	diabetes	E13.3493	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral
endocrine	diabetes	E13.3499	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye
endocrine	diabetes	E13.3511	Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye
endocrine	diabetes	E13.3512	Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye
endocrine	diabetes	E13.3513	Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral
endocrine	diabetes	E13.3519	Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye
endocrine	diabetes	E13.3521	Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye
endocrine	diabetes	E13.3522	Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye
endocrine	diabetes	E13.3523	Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral
endocrine	diabetes	E13.3529	Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye
endocrine	diabetes	E13.3531	Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye
endocrine	diabetes	E13.3532	Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye
endocrine	diabetes	E13.3533	Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral
